text,intent
孩子咳嗽，一周,complaint
我咳嗽半个月,complaint
最近四肢便秘,complaint
老师好，最近腰部恶心,complaint
辛苦了,chitchat
最近咽喉发热,complaint
啊,vague
嗯,vague
老师好，最近头部腰酸,complaint
难受,vague
早上起来失眠，三天了,complaint
您好,chitchat
辛苦了,chitchat
难受,vague
孩子咳嗽，三天了,complaint
感觉腰部一直腹胀,complaint
我口干三天了,complaint
最近腹部头疼,complaint
感觉胸部一直恶心,complaint
好的,chitchat
感觉不太好,vague
在吗,chitchat
难受,vague
感觉腰部一直胸闷,complaint
最近全身发热,complaint
感觉胃部一直便秘,complaint
再见,chitchat
最近腰部胸闷,complaint
早上起来心悸，半个月,complaint
辛苦了,chitchat
感觉全身一直乏力,complaint
辛苦了,chitchat
还行,vague
我想咨询一下挂号,chitchat
在吗,chitchat
我腰痛半个月,complaint
医生您好，我恶心最近,complaint
早上起来胃痛，今早开始,complaint
医生您好，我咳嗽半个月,complaint
你好,chitchat
打扰了,chitchat
说不清,vague
感觉胃部一直失眠,complaint
打扰了,chitchat
老师好，最近胃部便秘,complaint
感觉腰部一直发热,complaint
老师好，最近胃部腹痛,complaint
早上起来胃痛，今早开始,complaint
嗯嗯,chitchat
嗯,vague
辛苦了,chitchat
怎么办,vague
有点问题,vague
嗯,vague
最近腰部咳嗽,complaint
医院几点上班,chitchat
老师好，最近胃部胃痛,complaint
怎么办,vague
你好,chitchat
孩子腹泻，三天了,complaint
说不清,vague
再见,chitchat
好的,chitchat
不知道,vague
我腹胀半个月,complaint
有点问题,vague
最近腹部口干,complaint
说不清,vague
老师好，最近四肢呕吐,complaint
医保怎么报销,chitchat
我头疼最近,complaint
早上起来咳嗽，三天了,complaint
医生您好，我头疼半个月,complaint
感觉全身一直腹痛,complaint
说不上来,vague
好的,chitchat
你好,chitchat
再见,chitchat
怎么办,vague
你好,chitchat
不知道,vague
哈哈,chitchat
医生您好，我胸闷这两天,complaint
老师好，最近咽喉头疼,complaint
老师好，最近腹部便秘,complaint
感觉不太好,vague
老师好，最近胸部腰痛,complaint
帮我看看,vague
医院几点上班,chitchat
说不清,vague
我口干半个月,complaint
您好医生，我腰酸三天了,complaint
感觉胸部一直头疼,complaint
最近咽喉腹泻,complaint
您好,chitchat
最近胃部咳嗽,complaint
你好,chitchat
我腰酸今早开始,complaint
老师好，最近头部咳嗽,complaint
感觉腰部一直失眠,complaint
嗯,vague
您好,chitchat
感觉腹部一直呕吐,complaint
医生您好，我失眠这两天,complaint
感觉全身一直腰痛,complaint
您好,chitchat
医保怎么报销,chitchat
孩子呕吐，今早开始,complaint
老师好，最近胸部胸闷,complaint
孩子腰酸，半个月,complaint
您好医生，我腹泻今早开始,complaint
感觉头部一直胸闷,complaint
孩子乏力，今早开始,complaint
辛苦了,chitchat
孩子腹痛，这两天,complaint
我心悸今早开始,complaint
怎么办,vague
还行,vague
您好医生，我腰酸今早开始,complaint
早上起来心悸，半个月,complaint
老师好，最近胸部腹泻,complaint
老师好，最近胃部失眠,complaint
我想咨询一下挂号,chitchat
医院几点上班,chitchat
今天天气不错,chitchat
早上起来腰痛，最近,complaint
感觉胸部一直胃痛,complaint
今天天气不错,chitchat
医生您好，我恶心今早开始,complaint
我腰酸这两天,complaint
感觉不太好,vague
孩子胃痛，一周,complaint
最近四肢腰酸,complaint
我想咨询一下挂号,chitchat
感觉不太好,vague
您好医生，我胸闷今早开始,complaint
有点问题,vague
您好医生，我腰痛这两天,complaint
打扰了,chitchat
说不上来,vague
在吗,chitchat
怎么办,vague
最近咽喉恶心,complaint
我胃痛三天了,complaint
医生您好，我腰酸最近,complaint
好的,chitchat
感觉不太好,vague
医生您好，我口干这两天,complaint
啊,vague
早上起来腰酸，最近,complaint
孩子失眠，最近,complaint
孩子腹泻，一周,complaint
孩子发热，今早开始,complaint
早上好,chitchat
老师好，最近咽喉腹胀,complaint
还行,vague
您好医生，我头痛这两天,complaint
嗯嗯,chitchat
您好医生，我腹泻今早开始,complaint
早上起来腹痛，这两天,complaint
老师好，最近全身口干,complaint
医生您好，我失眠半个月,complaint
我便秘最近,complaint
我腰酸这两天,complaint
我咳嗽三天了,complaint
你好,chitchat
感觉不太好,vague
我想咨询一下挂号,chitchat
孩子心悸，最近,complaint
最近头部头疼,complaint
不舒服,vague
还行,vague
不舒服,vague
医生您好，我咳嗽一周,complaint
最近咽喉口干,complaint
难受,vague
您好医生，我腰痛一周,complaint
感觉头部一直腹泻,complaint
还行,vague
帮我看看,vague
再见,chitchat
说不清,vague
最近腹部发热,complaint
早上起来呕吐，半个月,complaint
早上起来恶心，这两天,complaint
感觉咽喉一直胃痛,complaint
不知道,vague
说不清,vague
医生您好，我胸闷这两天,complaint
我想咨询一下挂号,chitchat
您好医生，我胃痛今早开始,complaint
我咳嗽今早开始,complaint
嗯嗯,chitchat
说不上来,vague
老师好，最近腰部胸闷,complaint
我发热半个月,complaint
帮我看看,vague
感觉胸部一直腹痛,complaint
感觉胃部一直胃痛,complaint
还行,vague
啊,vague
随便,vague
孩子头痛，最近,complaint
感觉不太好,vague
感觉腰部一直腹泻,complaint
早上起来腰酸，这两天,complaint
早上起来腹泻，最近,complaint
老师好，最近全身腰痛,complaint
在吗,chitchat
感觉头部一直胃痛,complaint
您好医生，我腰痛一周,complaint
你好,chitchat
啊,vague
老师好，最近腹部发热,complaint
早上起来咳嗽，半个月,complaint
嗯嗯,chitchat
说不清,vague
不舒服,vague
再见,chitchat
医生您好，我胃痛半个月,complaint
说不上来,vague
最近胸部失眠,complaint
早上起来乏力，这两天,complaint
最近咽喉恶心,complaint
老师好，最近胸部心悸,complaint
谢谢医生,chitchat
早上起来头痛，半个月,complaint
我恶心今早开始,complaint
最近四肢腰痛,complaint
早上起来头痛，今早开始,complaint
您好医生，我呕吐这两天,complaint
孩子胸闷，今早开始,complaint
您好,chitchat
还行,vague
我心悸今早开始,complaint
早上起来胸闷，半个月,complaint
随便,vague
早上起来乏力，半个月,complaint
嗯,vague
不知道,vague
你好,chitchat
在吗,chitchat
哈哈,chitchat
帮我看看,vague
您好医生，我心悸最近,complaint
老师好，最近胃部腰痛,complaint
最近胸部恶心,complaint
今天天气不错,chitchat
早上起来发热，最近,complaint
好的,chitchat
有点问题,vague
啊,vague
孩子胸闷，今早开始,complaint
医生您好，我呕吐三天了,complaint
孩子口干，三天了,complaint
哈哈,chitchat
不知道,vague
帮我看看,vague
哈哈,chitchat
嗯,vague
还行,vague
好的,chitchat
最近胃部腹泻,complaint
早上起来腹胀，这两天,complaint
您好医生，我失眠这两天,complaint
怎么办,vague
您好医生，我心悸半个月,complaint
嗯,vague
老师好，最近胸部胸闷,complaint
感觉胸部一直呕吐,complaint
打扰了,chitchat
打扰了,chitchat
孩子咳嗽，三天了,complaint
医生您好，我腹泻三天了,complaint
打扰了,chitchat
我头疼今早开始,complaint
感觉胸部一直胸闷,complaint
辛苦了,chitchat
您好医生，我发热这两天,complaint
怎么办,vague
医生您好，我腰酸一周,complaint
医生您好，我失眠最近,complaint
还行,vague
早上起来咳嗽，三天了,complaint
怎么办,vague
我呕吐一周,complaint
您好,chitchat
我想咨询一下挂号,chitchat
你好,chitchat
最近胃部呕吐,complaint
难受,vague
您好医生，我恶心这两天,complaint
帮我看看,vague
说不上来,vague
医院几点上班,chitchat
您好医生，我便秘最近,complaint
医保怎么报销,chitchat
最近腰部失眠,complaint
您好医生，我发热一周,complaint
我胸闷今早开始,complaint
您好医生，我失眠最近,complaint
在吗,chitchat
难受,vague
难受,vague
最近腰部失眠,complaint
帮我看看,vague
早上起来腹胀，这两天,complaint
帮我看看,vague
老师好，最近四肢恶心,complaint
难受,vague
我乏力最近,complaint
早上好,chitchat
医生您好，我腰酸三天了,complaint
感觉胃部一直心悸,complaint
嗯嗯,chitchat
早上起来腹痛，最近,complaint
哈哈,chitchat
老师好，最近四肢心悸,complaint
早上起来腹胀，一周,complaint
说不清,vague
老师好，最近腰部心悸,complaint
医生您好，我胸闷半个月,complaint
最近胃部腹胀,complaint
老师好，最近腹部便秘,complaint
好的,chitchat
医生您好，我腹泻这两天,complaint
哈哈,chitchat
早上好,chitchat
孩子腰痛，这两天,complaint
我头疼最近,complaint
您好医生，我呕吐三天了,complaint
打扰了,chitchat
医生您好，我乏力半个月,complaint
啊,vague
您好医生，我心悸今早开始,complaint
您好,chitchat
说不清,vague
嗯,vague
老师好，最近胸部胸闷,complaint
我发热今早开始,complaint
最近胸部腰酸,complaint
啊,vague
医生您好，我头痛一周,complaint
最近咽喉恶心,complaint
最近腰部口干,complaint
在吗,chitchat
难受,vague
感觉不太好,vague
医生您好，我乏力今早开始,complaint
哈哈,chitchat
我头疼半个月,complaint
怎么办,vague
嗯嗯,chitchat
感觉腹部一直乏力,complaint
不知道,vague
孩子恶心，半个月,complaint
早上好,chitchat
打扰了,chitchat
我腰酸最近,complaint
在吗,chitchat
最近头部失眠,complaint
随便,vague
老师好，最近头部腹痛,complaint
感觉头部一直头疼,complaint
好的,chitchat
怎么办,vague
哈哈,chitchat
医保怎么报销,chitchat
孩子心悸，半个月,complaint
在吗,chitchat
您好医生，我乏力这两天,complaint
哈哈,chitchat
我胸闷最近,complaint
今天天气不错,chitchat
早上起来口干，今早开始,complaint
感觉腰部一直呕吐,complaint
不舒服,vague
谢谢医生,chitchat
医生您好，我腰痛今早开始,complaint
我腰痛今早开始,complaint
最近全身腹痛,complaint
我胸闷半个月,complaint
感觉不太好,vague
帮我看看,vague
在吗,chitchat
最近腹部口干,complaint
您好,chitchat
感觉不太好,vague
嗯,vague
老师好，最近胃部心悸,complaint
哈哈,chitchat
谢谢医生,chitchat
随便,vague
老师好，最近咽喉咳嗽,complaint
嗯,vague
嗯,vague
我心悸今早开始,complaint
随便,vague
说不清,vague
我腹痛这两天,complaint
还行,vague
哈哈,chitchat
孩子腰痛，最近,complaint
说不上来,vague
早上起来发热，半个月,complaint
您好医生，我腹痛这两天,complaint
早上起来胸闷，这两天,complaint
再见,chitchat
不舒服,vague
今天天气不错,chitchat
好的,chitchat
谢谢医生,chitchat
还行,vague
早上好,chitchat
医生您好，我胸闷今早开始,complaint
啊,vague
孩子胃痛，这两天,complaint
不舒服,vague
我想咨询一下挂号,chitchat
感觉腰部一直胸闷,complaint
感觉头部一直失眠,complaint
说不清,vague
您好医生，我头痛一周,complaint
孩子发热，半个月,complaint
辛苦了,chitchat
怎么办,vague
我咳嗽最近,complaint
您好,chitchat
我想咨询一下挂号,chitchat
今天天气不错,chitchat
感觉四肢一直乏力,complaint
嗯,vague
我胸闷一周,complaint
老师好，最近腹部胸闷,complaint
感觉不太好,vague
您好医生，我腹胀今早开始,complaint
好的,chitchat
早上好,chitchat
再见,chitchat
帮我看看,vague
早上起来头痛，一周,complaint
感觉头部一直腹胀,complaint
随便,vague
您好,chitchat
最近胃部腹泻,complaint
最近胃部恶心,complaint
您好,chitchat
最近腹部呕吐,complaint
医生您好，我腹胀最近,complaint
您好医生，我恶心今早开始,complaint
不知道,vague
有点问题,vague
有点问题,vague
医生您好，我口干一周,complaint
在吗,chitchat
我想咨询一下挂号,chitchat
医保怎么报销,chitchat
医生您好，我咳嗽三天了,complaint
感觉全身一直乏力,complaint
您好医生，我心悸今早开始,complaint
嗯嗯,chitchat
医生您好，我腹痛今早开始,complaint
早上起来腰痛，最近,complaint
哈哈,chitchat
再见,chitchat
老师好，最近胸部头疼,complaint
我想咨询一下挂号,chitchat
我恶心三天了,complaint
说不清,vague
打扰了,chitchat
老师好，最近腰部恶心,complaint
说不清,vague
孩子恶心，今早开始,complaint
您好医生，我腹泻最近,complaint
我想咨询一下挂号,chitchat
早上起来失眠，半个月,complaint
感觉胸部一直发热,complaint
好的,chitchat
最近腰部腰痛,complaint
哈哈,chitchat
不知道,vague
怎么办,vague
有点问题,vague
早上好,chitchat
孩子恶心，三天了,complaint
您好医生，我乏力最近,complaint
老师好，最近胃部恶心,complaint
早上起来胃痛，三天了,complaint
哈哈,chitchat
医生您好，我腹泻这两天,complaint
